Year,Gender,Birth-Weight(Grams),AgeMother,Value_LiveBirth
2001,Female,"2,750-2,999",25-29,618
2001,Female,"2,750-2,999",30,112
2001,Female,"2,750-2,999",31,131
2001,Female,"2,750-2,999",32,92
2001,Female,"2,750-2,999",33,93
2001,Female,"2,750-2,999",34,97
2001,Female,"2,750-2,999",30-34,525
2001,Female,"2,750-2,999",35,85
2001,Female,"2,750-2,999",36,56
2001,Female,"2,750-2,999",37,49
2001,Female,"2,750-2,999",38,44
2001,Female,"2,750-2,999",39,22
2001,Female,"2,750-2,999",35-39,256
2001,Female,"2,750-2,999",40,22
2001,Female,"2,750-2,999",41,12
2001,Female,"2,750-2,999",42,8
2001,Female,"2,750-2,999",43,6
2001,Female,"2,750-2,999",44,2
2001,Female,"2,750-2,999",40-44,50
2001,Female,"2,750-2,999",45+,1
2001,Female,"2,750-2,999",NS,0
2001,Female,"2,750-2,999",Res Total,2018
2001,Female,"2,750-2,999",Non Res Total,26
2001,Female,"2,750-2,999",Grand Total,2044
2001,Female,"3,000-3,249",10,0
2001,Female,"3,000-3,249",11,0
2001,Female,"3,000-3,249",12,0
2001,Female,"3,000-3,249",13,0
2001,Female,"3,000-3,249",14,0
2001,Female,"3,000-3,249",14-Oct,0
2001,Female,"3,000-3,249",15,5
2001,Female,"3,000-3,249",16,13
2001,Female,"3,000-3,249",17,37
2001,Female,"3,000-3,249",18,69
2001,Female,"3,000-3,249",19,93
2001,Female,"3,000-3,249",15-19,217
2001,Female,"3,000-3,249",20,110
2001,Female,"3,000-3,249",21,116
2001,Female,"3,000-3,249",22,128
2001,Female,"3,000-3,249",23,138
2001,Female,"3,000-3,249",24,194
2001,Female,"3,000-3,249",20-24,686
2001,Female,"3,000-3,249",25,192
2001,Female,"3,000-3,249",26,193
2001,Female,"3,000-3,249",27,202
2001,Female,"3,000-3,249",28,222
2001,Female,"3,000-3,249",29,205
2001,Female,"3,000-3,249",25-29,1014
2001,Female,"3,000-3,249",30,200
2001,Female,"3,000-3,249",31,218
2001,Female,"3,000-3,249",32,173
2001,Female,"3,000-3,249",33,166
2001,Female,"3,000-3,249",34,128
2001,Female,"3,000-3,249",30-34,885
2001,Female,"3,000-3,249",35,120
2001,Female,"3,000-3,249",36,76
2001,Female,"3,000-3,249",37,84
2001,Female,"3,000-3,249",38,54
2001,Female,"3,000-3,249",39,43
2001,Female,"3,000-3,249",35-39,377
2001,Female,"3,000-3,249",40,35
2001,Female,"3,000-3,249",41,21
2001,Female,"3,000-3,249",42,14
2001,Female,"3,000-3,249",43,5
2001,Female,"3,000-3,249",44,5
2001,Female,"3,000-3,249",40-44,80
2001,Female,"3,000-3,249",45+,1
2001,Female,"3,000-3,249",NS,0
2001,Female,"3,000-3,249",Res Total,3260
2001,Female,"3,000-3,249",Non Res Total,44
2001,Female,"3,000-3,249",Grand Total,3304
2001,Female,"3,250-3,499",10,0
2001,Female,"3,250-3,499",11,0
2001,Female,"3,250-3,499",12,0
2001,Female,"3,250-3,499",13,0
2001,Female,"3,250-3,499",14,2
2001,Female,"3,250-3,499",14-Oct,2
2001,Female,"3,250-3,499",15,8
2001,Female,"3,250-3,499",16,20
2001,Female,"3,250-3,499",17,38
2001,Female,"3,250-3,499",18,59
2001,Female,"3,250-3,499",19,89
2001,Female,"3,250-3,499",15-19,214
2001,Female,"3,250-3,499",20,107
2001,Female,"3,250-3,499",21,115
2001,Female,"3,250-3,499",22,140
2001,Female,"3,250-3,499",23,164
2001,Female,"3,250-3,499",24,190
2001,Female,"3,250-3,499",20-24,716
2001,Female,"3,250-3,499",25,197
2001,Female,"3,250-3,499",26,246
